"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8","Get File by ID","tests.files","2026-07-16","passed","2026-07-16","TestGetFile","test_get_file","",""
"","21","Create File with EMPTY Directory (negative)","tests.files","2026-07-16","passed","2026-07-16","TestCreateFileNegative","test_create_file","",""
"","234","Authentication (v.2 - Через фикстуры: create_user + auth_client)","tests.auth","2026-07-16","passed","2026-07-16","TestAuth","test_auth","",""
"","0","Get Exercises (v.1 - Через API-фикстуры: exercises_client, create_exercise)","tests.exercises","2026-07-16","passed","2026-07-16","TestGetExercises","test_get_exercises","",""
"","15","Delete File by ID","tests.files","2026-07-16","passed","2026-07-16","TestDeleteFile","test_delete_file","",""
"","11","Get File by INVALID File-ID (non-UUID) (negative)","tests.files","2026-07-16","passed","2026-07-16","TestGetFileNegative","test_get_file","",""
"","12","Update Exercise (v.1 - Через API-фикстуру полного цикла)","tests.exercises","2026-07-16","passed","2026-07-16","TestUpdateExercise","test_update_exercise","",""
"","4","Authentication (v.1 - Через API-фикстуру полного цикла)","tests.auth","2026-07-16","passed","2026-07-16","TestAuth","test_auth","",""
"","237","Create User (v.3 - Email parametrize 3-in-1)","tests.users","2026-07-16","passed","2026-07-16","TestCreateUser","test_create_user","",""
"","5","Create Exercise (v.1 - Через API-фикстуру полного цикла)","tests.exercises","2026-07-16","passed","2026-07-16","TestCreateExercise","test_create_exercise","",""
"","237","Create User (v.3 - Email parametrize 3-in-1)","tests.users","2026-07-16","passed","2026-07-16","TestCreateUser","test_create_user","",""
"","21","Create File with EMPTY File Name (negative)","tests.files","2026-07-16","passed","2026-07-16","TestCreateFileNegative","test_create_file","",""
"","10","Update Exercise (v.2 - Через фикстуры: exercises_client, create_exercise)","tests.exercises","2026-07-16","passed","2026-07-16","TestUpdateExercise","test_update_exercise","",""
"","240","Create User (v.3 - Email parametrize 3-in-1)","tests.users","2026-07-16","passed","2026-07-16","TestCreateUser","test_create_user","",""
"","7","Create Course (v.1 - Через API-фикстуру полного цикла)","tests.courses","2026-07-16","passed","2026-07-16","TestCreateCourse","test_create_course","",""
"","18","Create Course (v.2 - Через Pydantic-фикстуры)","tests.courses","2026-07-16","passed","2026-07-16","TestCreateCourse","test_create_course","",""
"","13","Get Courses (v.1 - Через Pydantic-фикстуры)","tests.courses","2026-07-16","passed","2026-07-16","TestGetCourses","test_get_courses","",""
"","5","Create User (v.1 - Через фикстуру полного цикла)","tests.users","2026-07-16","passed","2026-07-16","TestCreateUser","test_create_user","",""
"","5","Get Exercise (v.1 - Через API-фикстуру полного цикла)","tests.exercises","2026-07-16","passed","2026-07-16","TestGetExercise","test_get_exercise","",""
"","249","Create User (v.4 - All manual)","tests.users","2026-07-16","passed","2026-07-16","TestCreateUser","test_create_user","",""
"","9","Get User Me (v.2 - Через фикстуру получения экземпляра UsersClientPrivate)","tests.users","2026-07-16","passed","2026-07-16","TestGetUserMe","test_get_user_me","",""
"","19","Get Exercise (v.2 - Через фикстуры: exercises_client, create_exercise)","tests.exercises","2026-07-16","passed","2026-07-16","TestGetExercise","test_get_exercise","",""
"","10","Get User Me (v.1 - Через фикстуру полного цикла)","tests.users","2026-07-16","passed","2026-07-16","TestGetUserMe","test_get_user_me","",""
"","23","Create File","tests.files","2026-07-16","passed","2026-07-16","TestCreateFile","test_create_file","",""
"","12","Create Exercise (v.2 - Через фикстуры: exercises_client, create_course)","tests.exercises","2026-07-16","passed","2026-07-16","TestCreateExercise","test_create_exercise","",""
"","512","Get User Me (v.3 - All manual)","tests.users","2026-07-16","passed","2026-07-16","TestGetUserMe","test_get_user_me","",""
"","15","Get Courses (v.1 - Через фикстуру полного цикла)","tests.courses","2026-07-16","passed","2026-07-16","TestGetCourses","test_get_courses","",""
"","238","Create User (v.2 - Через фикстуру UsersClientPublic)","tests.users","2026-07-16","passed","2026-07-16","TestCreateUser","test_create_user","",""
"","25","Delete Exercise","tests.exercises","2026-07-16","passed","2026-07-16","TestDeleteExercise","test_delete_exercise","",""
"","18","Update Course","tests.courses","2026-07-16","passed","2026-07-16","TestUpdateCourse","test_update_course","",""
"","17","Get File by non-existent File-ID (negative)","tests.files","2026-07-16","passed","2026-07-16","TestGetFileNegative","test_get_file","",""
