"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22","Create Course (v.2 - Через Pydantic-фикстуры)","tests.courses","2026-07-15","passed","2026-07-15","TestCreateCourse","test_create_course","",""
"","320","Create User (v.4 - All manual)","tests.users","2026-07-15","passed","2026-07-15","TestCreateUser","test_create_user","",""
"","1","Get Exercises (v.1 - Через API-фикстуры: exercises_client, create_exercise)","tests.exercises","2026-07-15","passed","2026-07-15","TestGetExercises","test_get_exercises","",""
"","28","Create File with EMPTY Directory (negative)","tests.files","2026-07-15","passed","2026-07-15","TestCreateFileNegative","test_create_file","",""
"","308","Create User (v.3 - Email parametrize 3-in-1)","tests.users","2026-07-15","passed","2026-07-15","TestCreateUser","test_create_user","",""
"","16","Update Exercise (v.2 - Через фикстуры: exercises_client, create_exercise)","tests.exercises","2026-07-15","passed","2026-07-15","TestUpdateExercise","test_update_exercise","",""
"","23","Get Exercise (v.2 - Через фикстуры: exercises_client, create_exercise)","tests.exercises","2026-07-15","passed","2026-07-15","TestGetExercise","test_get_exercise","",""
"","14","Update Exercise (v.1 - Через API-фикстуру полного цикла)","tests.exercises","2026-07-15","passed","2026-07-15","TestUpdateExercise","test_update_exercise","",""
"","306","Create User (v.3 - Email parametrize 3-in-1)","tests.users","2026-07-15","passed","2026-07-15","TestCreateUser","test_create_user","",""
"","7","Create Exercise (v.1 - Через API-фикстуру полного цикла)","tests.exercises","2026-07-15","passed","2026-07-15","TestCreateExercise","test_create_exercise","",""
"","5","Authentication (v.1 - Через API-фикстуру полного цикла)","tests.auth","2026-07-15","passed","2026-07-15","TestAuth","test_auth","",""
"","10","Get File by ID","tests.files","2026-07-15","passed","2026-07-15","TestGetFile","test_get_file","",""
"","20","Delete File by ID","tests.files","2026-07-15","passed","2026-07-15","TestDeleteFile","test_delete_file","",""
"","666","Get User Me (v.3 - All manual)","tests.users","2026-07-15","passed","2026-07-15","TestGetUserMe","test_get_user_me","",""
"","20","Get Courses (v.1 - Через фикстуру полного цикла)","tests.courses","2026-07-15","passed","2026-07-15","TestGetCourses","test_get_courses","",""
"","31","Delete Exercise","tests.exercises","2026-07-15","passed","2026-07-15","TestDeleteExercise","test_delete_exercise","",""
"","305","Create User (v.3 - Email parametrize 3-in-1)","tests.users","2026-07-15","passed","2026-07-15","TestCreateUser","test_create_user","",""
"","13","Get User Me (v.1 - Через фикстуру полного цикла)","tests.users","2026-07-15","passed","2026-07-15","TestGetUserMe","test_get_user_me","",""
"","18","Get Courses (v.1 - Через Pydantic-фикстуры)","tests.courses","2026-07-15","passed","2026-07-15","TestGetCourses","test_get_courses","",""
"","300","Authentication (v.2 - Через фикстуры: create_user + auth_client)","tests.auth","2026-07-15","passed","2026-07-15","TestAuth","test_auth","",""
"","29","Create File","tests.files","2026-07-15","passed","2026-07-15","TestCreateFile","test_create_file","",""
"","12","Get User Me (v.2 - Через фикстуру получения экземпляра UsersClientPrivate)","tests.users","2026-07-15","passed","2026-07-15","TestGetUserMe","test_get_user_me","",""
"","15","Create Exercise (v.2 - Через фикстуры: exercises_client, create_course)","tests.exercises","2026-07-15","passed","2026-07-15","TestCreateExercise","test_create_exercise","",""
"","305","Create User (v.2 - Через фикстуру UsersClientPublic)","tests.users","2026-07-15","passed","2026-07-15","TestCreateUser","test_create_user","",""
"","27","Create File with EMPTY File Name (negative)","tests.files","2026-07-15","passed","2026-07-15","TestCreateFileNegative","test_create_file","",""
"","14","Get File by INVALID File-ID (non-UUID) (negative)","tests.files","2026-07-15","passed","2026-07-15","TestGetFileNegative","test_get_file","",""
"","22","Get File by non-existent File-ID (negative)","tests.files","2026-07-15","passed","2026-07-15","TestGetFileNegative","test_get_file","",""
"","6","Create User (v.1 - Через фикстуру полного цикла)","tests.users","2026-07-15","passed","2026-07-15","TestCreateUser","test_create_user","",""
"","22","Update Course","tests.courses","2026-07-15","passed","2026-07-15","TestUpdateCourse","test_update_course","",""
"","6","Get Exercise (v.1 - Через API-фикстуру полного цикла)","tests.exercises","2026-07-15","passed","2026-07-15","TestGetExercise","test_get_exercise","",""
"","9","Create Course (v.1 - Через API-фикстуру полного цикла)","tests.courses","2026-07-15","passed","2026-07-15","TestCreateCourse","test_create_course","",""
