"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10","Get File by ID","tests.files","2026-07-15","passed","2026-07-15","TestGetFile","test_get_file","",""
"","17","Get Courses (v.1 - Через Pydantic-фикстуры)","tests.courses","2026-07-15","passed","2026-07-15","TestGetCourses","test_get_courses","",""
"","21","Create Course (v.2 - Через Pydantic-фикстуры)","tests.courses","2026-07-15","passed","2026-07-15","TestCreateCourse","test_create_course","",""
"","15","Update Exercise (v.2 - Через фикстуры: exercises_client, create_exercise)","tests.exercises","2026-07-15","passed","2026-07-15","TestUpdateExercise","test_update_exercise","",""
"","12","Get User Me (v.1 - Через фикстуру полного цикла)","tests.users","2026-07-15","passed","2026-07-15","TestGetUserMe","test_get_user_me","",""
"","9","Create Course (v.1 - Через API-фикстуру полного цикла)","tests.courses","2026-07-15","passed","2026-07-15","TestCreateCourse","test_create_course","",""
"","6","Create Exercise (v.1 - Через API-фикстуру полного цикла)","tests.exercises","2026-07-15","passed","2026-07-15","TestCreateExercise","test_create_exercise","",""
"","319","Create User (v.4 - All manual)","tests.users","2026-07-15","passed","2026-07-15","TestCreateUser","test_create_user","",""
"","6","Create User (v.1 - Через фикстуру полного цикла)","tests.users","2026-07-15","passed","2026-07-15","TestCreateUser","test_create_user","",""
"","655","Get User Me (v.3 - All manual)","tests.users","2026-07-15","passed","2026-07-15","TestGetUserMe","test_get_user_me","",""
"","305","Create User (v.3 - Email parametrize 3-in-1)","tests.users","2026-07-15","passed","2026-07-15","TestCreateUser","test_create_user","",""
"","22","Update Course","tests.courses","2026-07-15","passed","2026-07-15","TestUpdateCourse","test_update_course","",""
"","16","Create Exercise (v.2 - Через фикстуры: exercises_client, create_course)","tests.exercises","2026-07-15","passed","2026-07-15","TestCreateExercise","test_create_exercise","",""
"","5","Authentication (v.1 - Через API-фикстуру полного цикла)","tests.auth","2026-07-15","passed","2026-07-15","TestAuth","test_auth","",""
"","35","Delete Exercise","tests.exercises","2026-07-15","passed","2026-07-15","TestDeleteExercise","test_delete_exercise","",""
"","301","Authentication (v.2 - Через фикстуры: create_user + auth_client)","tests.auth","2026-07-15","passed","2026-07-15","TestAuth","test_auth","",""
"","21","Get File by non-existent File-ID (negative)","tests.files","2026-07-15","passed","2026-07-15","TestGetFileNegative","test_get_file","",""
"","0","Get Exercises (v.1 - Через API-фикстуры: exercises_client, create_exercise)","tests.exercises","2026-07-15","passed","2026-07-15","TestGetExercises","test_get_exercises","",""
"","28","Create File with EMPTY File Name (negative)","tests.files","2026-07-15","passed","2026-07-15","TestCreateFileNegative","test_create_file","",""
"","21","Get Exercise (v.2 - Через фикстуры: exercises_client, create_exercise)","tests.exercises","2026-07-15","passed","2026-07-15","TestGetExercise","test_get_exercise","",""
"","5","Get Exercise (v.1 - Через API-фикстуру полного цикла)","tests.exercises","2026-07-15","passed","2026-07-15","TestGetExercise","test_get_exercise","",""
"","27","Create File with EMPTY Directory (negative)","tests.files","2026-07-15","passed","2026-07-15","TestCreateFileNegative","test_create_file","",""
"","307","Create User (v.3 - Email parametrize 3-in-1)","tests.users","2026-07-15","passed","2026-07-15","TestCreateUser","test_create_user","",""
"","12","Get File by INVALID File-ID (non-UUID) (negative)","tests.files","2026-07-15","passed","2026-07-15","TestGetFileNegative","test_get_file","",""
"","17","Delete File by ID","tests.files","2026-07-15","passed","2026-07-15","TestDeleteFile","test_delete_file","",""
"","11","Get User Me (v.2 - Через фикстуру получения экземпляра UsersClientPrivate)","tests.users","2026-07-15","passed","2026-07-15","TestGetUserMe","test_get_user_me","",""
"","17","Get Courses (v.1 - Через фикстуру полного цикла)","tests.courses","2026-07-15","passed","2026-07-15","TestGetCourses","test_get_courses","",""
"","30","Create File","tests.files","2026-07-15","passed","2026-07-15","TestCreateFile","test_create_file","",""
"","305","Create User (v.3 - Email parametrize 3-in-1)","tests.users","2026-07-15","passed","2026-07-15","TestCreateUser","test_create_user","",""
"","14","Update Exercise (v.1 - Через API-фикстуру полного цикла)","tests.exercises","2026-07-15","passed","2026-07-15","TestUpdateExercise","test_update_exercise","",""
"","304","Create User (v.2 - Через фикстуру UsersClientPublic)","tests.users","2026-07-15","passed","2026-07-15","TestCreateUser","test_create_user","",""
