"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12","Get User Me (v.1 - Через фикстуру полного цикла)","tests.users","2026-07-17","passed","2026-07-17","TestGetUserMe","test_get_user_me","",""
"","21","Get File by non-existent File-ID (negative)","tests.files","2026-07-17","passed","2026-07-17","TestGetFileNegative","test_get_file","",""
"","9","Create Course (v.1 - Через API-фикстуру полного цикла)","tests.courses","2026-07-17","passed","2026-07-17","TestCreateCourse","test_create_course","",""
"","32","Delete Exercise","tests.exercises","2026-07-17","passed","2026-07-17","TestDeleteExercise","test_delete_exercise","",""
"","661","Get User Me (v.3 - All manual)","tests.users","2026-07-17","passed","2026-07-17","TestGetUserMe","test_get_user_me","",""
"","13","Get File by INVALID File-ID (non-UUID) (negative)","tests.files","2026-07-17","passed","2026-07-17","TestGetFileNegative","test_get_file","",""
"","6","Create User (v.1 - Через фикстуру полного цикла)","tests.users","2026-07-17","passed","2026-07-17","TestCreateUser","test_create_user","",""
"","306","Create User (v.3 - Email parametrize 3-in-1)","tests.users","2026-07-17","passed","2026-07-17","TestCreateUser","test_create_user","",""
"","30","Create File","tests.files","2026-07-17","passed","2026-07-17","TestCreateFile","test_create_file","",""
"","5","Authentication (v.1 - Через API-фикстуру полного цикла)","tests.auth","2026-07-17","passed","2026-07-17","TestAuth","test_auth","",""
"","7","Create Exercise (v.1 - Через API-фикстуру полного цикла)","tests.exercises","2026-07-17","passed","2026-07-17","TestCreateExercise","test_create_exercise","",""
"","16","Create Exercise (v.2 - Через фикстуры: exercises_client, create_course)","tests.exercises","2026-07-17","passed","2026-07-17","TestCreateExercise","test_create_exercise","",""
"","28","Create File with EMPTY File Name (negative)","tests.files","2026-07-17","passed","2026-07-17","TestCreateFileNegative","test_create_file","",""
"","306","Create User (v.3 - Email parametrize 3-in-1)","tests.users","2026-07-17","passed","2026-07-17","TestCreateUser","test_create_user","",""
"","6","Get Exercise (v.1 - Через API-фикстуру полного цикла)","tests.exercises","2026-07-17","passed","2026-07-17","TestGetExercise","test_get_exercise","",""
"","21","Update Course","tests.courses","2026-07-17","passed","2026-07-17","TestUpdateCourse","test_update_course","",""
"","12","Get User Me (v.2 - Через фикстуру получения экземпляра UsersClientPrivate)","tests.users","2026-07-17","passed","2026-07-17","TestGetUserMe","test_get_user_me","",""
"","28","Create File with EMPTY Directory (negative)","tests.files","2026-07-17","passed","2026-07-17","TestCreateFileNegative","test_create_file","",""
"","16","Update Exercise (v.2 - Через фикстуры: exercises_client, create_exercise)","tests.exercises","2026-07-17","passed","2026-07-17","TestUpdateExercise","test_update_exercise","",""
"","306","Create User (v.2 - Через фикстуру UsersClientPublic)","tests.users","2026-07-17","passed","2026-07-17","TestCreateUser","test_create_user","",""
"","307","Create User (v.3 - Email parametrize 3-in-1)","tests.users","2026-07-17","passed","2026-07-17","TestCreateUser","test_create_user","",""
"","15","Update Exercise (v.1 - Через API-фикстуру полного цикла)","tests.exercises","2026-07-17","passed","2026-07-17","TestUpdateExercise","test_update_exercise","",""
"","320","Create User (v.4 - All manual)","tests.users","2026-07-17","passed","2026-07-17","TestCreateUser","test_create_user","",""
"","18","Get Courses (v.1 - Через Pydantic-фикстуры)","tests.courses","2026-07-17","passed","2026-07-17","TestGetCourses","test_get_courses","",""
"","17","Delete File by ID","tests.files","2026-07-17","passed","2026-07-17","TestDeleteFile","test_delete_file","",""
"","301","Authentication (v.2 - Через фикстуры: create_user + auth_client)","tests.auth","2026-07-17","passed","2026-07-17","TestAuth","test_auth","",""
"","1","Get Exercises","tests.exercises","2026-07-17","passed","2026-07-17","TestGetExercises","test_get_exercises","",""
"","23","Create Course (v.2 - Через Pydantic-фикстуры)","tests.courses","2026-07-17","passed","2026-07-17","TestCreateCourse","test_create_course","",""
"","22","Get Exercise (v.2 - Через фикстуры: exercises_client, create_exercise)","tests.exercises","2026-07-17","passed","2026-07-17","TestGetExercise","test_get_exercise","",""
"","10","Get File by ID","tests.files","2026-07-17","passed","2026-07-17","TestGetFile","test_get_file","",""
"","17","Get Courses (v.1 - Через фикстуру полного цикла)","tests.courses","2026-07-17","passed","2026-07-17","TestGetCourses","test_get_courses","",""
